Estacion,Provincia,2014,2015,2016,2017,2018,2019,2020,2021,2022,Gestion,Nivel
ZA001,Zamora,,0.44,0.03,0.6,,0.24,0.06,0.1,,CCM,1
ZA002,Zamora,1.54,,1,2.06,,1.66,1.34,2.16,,CSM,1
ZA003,Zamora,1.74,,,5.29,,2.33,1.8,2.98,,L,1
ZA004,Zamora,,13.55,5.97,22.84,,9.25,16.75,19.6,,L,1
ZA005,Zamora,23.89,3.48,3.65,5.22,,4.22,3.16,2.43,,L,1
ZA012,Zamora,,,8.82,4.79,,1.69,2.75,3.31,,L,1
ZA029,Zamora,,7.43,,7.59,,5.64,5.83,6.93,,L,1
ZA016,Zamora,1.04,,,0.46,,,,,,CCM,2
ZA017,Zamora,4.62,,,3.74,,,,,,L,2
ZA019,Zamora,4.2,,,3.93,,,,,,L,2
ZA020,Zamora,,,,0.004,,,,,,L,2
ZA021,Zamora,0.73,,,3.69,,,,,,V,2
ZA023,Zamora,0.54,,,1.17,,,,,,L,2
